issue_d,sub_grade,term,home_ownership,fico_range_low,pub_rec,revol_util,int_rate,application_type,verification_status,addr_state,fico_range_high,id,emp_length,loan_status
2015-11-01,D5,36 months,MORTGAGE,695.0,0.0,83.8,17.86,Individual,Source Verified,VT,699.0,65413693,5.0,1
2016-05-01,A5,36 months,OWN,685.0,0.0,29.9,7.89,Individual,Source Verified,LA,689.0,78789854,0.0,1
2016-02-01,B5,36 months,MORTGAGE,690.0,0.0,40.5,11.47,Individual,Not Verified,IL,694.0,72743609,9.0,1
2015-08-01,C1,36 months,MORTGAGE,660.0,0.0,81.0,12.29,Individual,Source Verified,CA,664.0,57762335,11.0,1
2016-03-01,D5,36 months,RENT,675.0,1.0,62.5,19.53,Individual,Verified,MA,679.0,73410627,0.0,1
2016-04-01,B4,36 months,OWN,680.0,1.0,33.1,10.75,Individual,Not Verified,CA,684.0,77110753,11.0,1
2014-10-01,B1,36 months,MORTGAGE,720.0,0.0,54.5,9.17,Individual,Source Verified,NJ,724.0,29625119,11.0,1
2015-07-01,C2,60 months,MORTGAGE,660.0,0.0,58.8,12.69,Individual,Verified,NY,664.0,53392166,6.0,1
2014-01-01,C3,60 months,MORTGAGE,710.0,2.0,34.0,14.98,Individual,Verified,GA,714.0,10588612,2.0,1
2015-06-01,E2,60 months,MORTGAGE,705.0,0.0,76.2,18.55,Individual,Verified,CA,709.0,50468183,5.0,1
2014-12-01,C3,36 months,RENT,660.0,0.0,32.0,13.66,Individual,Verified,IN,664.0,35999540,2.0,1
2015-02-01,A4,36 months,RENT,670.0,2.0,76.3,6.92,Individual,Source Verified,IL,674.0,40337783,3.0,1
2016-03-01,C5,36 months,RENT,695.0,0.0,0.0,15.31,Individual,Source Verified,NE,699.0,75259975,2.0,1
2016-06-01,B2,36 months,RENT,660.0,0.0,86.2,9.49,Individual,Source Verified,FL,664.0,83378499,0.0,1
2015-07-01,A2,36 months,MORTGAGE,725.0,0.0,45.3,6.24,Individual,Not Verified,MD,729.0,55934099,8.0,1
2014-09-01,A4,36 months,RENT,720.0,0.0,60.2,7.69,Individual,Source Verified,WA,724.0,26669413,4.0,1
2015-06-01,D3,36 months,RENT,670.0,0.0,44.3,16.99,Individual,Not Verified,FL,674.0,51887055,4.0,1
2015-12-01,G1,60 months,MORTGAGE,685.0,0.0,49.6,26.77,Joint App,Verified,MI,689.0,65019631,0.0,0
2015-04-01,C3,60 months,RENT,675.0,0.0,13.5,13.33,Individual,Source Verified,FL,679.0,46295049,6.0,1
2015-07-01,D5,60 months,MORTGAGE,680.0,0.0,81.2,17.86,Individual,Source Verified,PA,684.0,55310726,11.0,1
2015-09-01,A2,36 months,MORTGAGE,725.0,0.0,40.3,6.24,Individual,Source Verified,FL,729.0,60517409,1.0,1
2015-01-01,D5,36 months,MORTGAGE,660.0,0.0,69.4,17.86,Individual,Verified,NJ,664.0,39088329,11.0,1
2015-04-01,B2,36 months,RENT,695.0,0.0,79.2,9.17,Individual,Source Verified,TX,699.0,46185226,2.0,1
2016-01-01,E3,60 months,MORTGAGE,675.0,0.0,52.2,19.89,Individual,Verified,CA,679.0,68386271,3.0,1
2015-04-01,C5,36 months,RENT,690.0,0.0,46.1,14.65,Individual,Verified,CA,694.0,44895758,8.0,1
2016-01-01,B2,36 months,MORTGAGE,660.0,1.0,78.8,9.17,Individual,Not Verified,CA,664.0,70131037,11.0,1
2016-04-01,F2,36 months,RENT,680.0,0.0,87.4,24.11,Individual,Verified,OR,684.0,77519842,0.0,0
2014-10-01,C1,36 months,MORTGAGE,695.0,0.0,58.2,12.99,Individual,Source Verified,CA,699.0,29614695,5.0,1
2014-10-01,B4,60 months,MORTGAGE,720.0,0.0,20.1,11.67,Individual,Not Verified,TX,724.0,30175665,11.0,1
2015-09-01,A1,36 months,OWN,770.0,0.0,28.1,5.32,Individual,Not Verified,VA,774.0,59562837,5.0,1
2015-11-01,B5,36 months,MORTGAGE,660.0,0.0,76.7,11.49,Individual,Source Verified,MA,664.0,63969712,8.0,1
2015-06-01,D1,36 months,RENT,675.0,0.0,92.4,15.61,Individual,Not Verified,FL,679.0,52076313,2.0,1
2014-04-01,B3,36 months,RENT,660.0,0.0,89.6,11.99,Individual,Source Verified,IL,664.0,12856125,0.0,1
2015-10-01,C2,36 months,OWN,675.0,0.0,68.4,12.69,Individual,Verified,KS,679.0,62489777,6.0,1
2015-11-01,B1,36 months,MORTGAGE,675.0,2.0,23.1,8.18,Individual,Source Verified,FL,679.0,65763165,11.0,1
2014-07-01,A1,36 months,RENT,695.0,0.0,72.0,6.03,Individual,Not Verified,MD,699.0,19876924,2.0,1
2016-06-01,C1,36 months,MORTGAGE,675.0,1.0,32.0,11.99,Individual,Source Verified,TX,679.0,81487813,11.0,1
2016-04-01,B2,36 months,RENT,670.0,0.0,44.3,9.16,Individual,Source Verified,CA,674.0,78358129,11.0,1
2015-04-01,B2,36 months,MORTGAGE,670.0,0.0,91.6,9.17,Individual,Source Verified,PA,674.0,46832202,0.0,1
2016-04-01,A5,60 months,MORTGAGE,690.0,0.0,46.2,7.89,Individual,Source Verified,TX,694.0,77071678,9.0,1
2015-07-01,C4,36 months,RENT,670.0,0.0,64.0,13.99,Individual,Verified,CA,674.0,54324342,11.0,1
2014-06-01,D3,36 months,RENT,660.0,2.0,90.1,16.99,Individual,Not Verified,MI,664.0,18905098,11.0,0
2014-05-01,E3,60 months,RENT,700.0,0.0,7.7,20.2,Individual,Source Verified,NJ,704.0,17052462,0.0,1
2016-06-01,C1,60 months,MORTGAGE,715.0,0.0,78.2,11.99,Individual,Not Verified,NY,719.0,81443562,8.0,1
2014-10-01,A3,36 months,OWN,760.0,0.0,20.0,7.12,Individual,Verified,CA,764.0,33410641,11.0,1
2015-02-01,C3,36 months,RENT,715.0,0.0,74.7,13.33,Individual,Verified,HI,719.0,40766412,0.0,1
2015-06-01,C2,36 months,RENT,670.0,0.0,52.7,12.69,Individual,Not Verified,WA,674.0,51186470,0.0,1
2015-11-01,D1,60 months,OWN,675.0,0.0,70.9,15.41,Individual,Source Verified,ME,679.0,65141447,11.0,0
2016-03-01,A2,36 months,RENT,680.0,0.0,51.7,6.49,Individual,Source Verified,KY,684.0,73904152,6.0,1
2015-03-01,B1,60 months,MORTGAGE,755.0,0.0,58.1,8.18,Individual,Not Verified,WI,759.0,42353212,11.0,1
2015-03-01,B5,36 months,MORTGAGE,690.0,0.0,53.1,11.53,Individual,Source Verified,TX,694.0,43306549,0.0,1
2015-05-01,B1,36 months,MORTGAGE,735.0,0.0,9.2,8.18,Individual,Not Verified,IL,739.0,46794995,11.0,1
2014-07-01,B4,60 months,RENT,695.0,0.0,42.0,11.67,Individual,Not Verified,CA,699.0,20178117,11.0,0
2015-11-01,B4,36 months,OWN,665.0,0.0,35.0,10.99,Individual,Verified,IL,669.0,65404035,11.0,1
2015-09-01,E2,60 months,OWN,825.0,0.0,2.5,18.55,Individual,Not Verified,OK,829.0,59561446,0.0,1
2014-11-01,E4,60 months,MORTGAGE,685.0,0.0,49.7,20.99,Individual,Source Verified,AZ,689.0,34473947,11.0,0
2016-04-01,F1,60 months,RENT,700.0,0.0,14.4,23.13,Individual,Source Verified,MA,704.0,76854897,11.0,1
2014-10-01,F4,60 months,RENT,695.0,0.0,43.7,24.99,Individual,Source Verified,NJ,699.0,30325920,3.0,1
2015-08-01,C2,36 months,MORTGAGE,695.0,1.0,47.4,12.69,Individual,Verified,OH,699.0,56111338,4.0,1
2015-04-01,B4,36 months,MORTGAGE,710.0,2.0,53.4,10.99,Individual,Source Verified,TX,714.0,46703252,0.0,1
2015-05-01,C5,60 months,MORTGAGE,705.0,1.0,44.0,14.65,Individual,Source Verified,MI,709.0,49207683,0.0,1
2016-03-01,B1,60 months,OWN,680.0,1.0,14.9,8.39,Individual,Not Verified,CA,684.0,72652376,11.0,0
2015-11-01,A3,36 months,MORTGAGE,755.0,0.0,29.2,6.89,Individual,Not Verified,TX,759.0,63890169,7.0,1
2014-02-01,D1,36 months,RENT,715.0,0.0,97.1,16.59,Individual,Source Verified,NY,719.0,11975309,6.0,1
2015-12-01,B5,36 months,MORTGAGE,690.0,0.0,86.9,11.48,Individual,Verified,IL,694.0,67908510,3.0,1
2014-11-01,B2,36 months,MORTGAGE,690.0,0.0,94.0,9.49,Individual,Source Verified,MA,694.0,33681864,11.0,1
2014-10-01,E4,36 months,MORTGAGE,660.0,1.0,33.3,20.99,Individual,Verified,AR,664.0,29735215,0.0,1
2015-06-01,D3,36 months,MORTGAGE,665.0,0.0,55.1,16.99,Individual,Verified,TX,669.0,50204360,4.0,1
2015-08-01,B3,36 months,OWN,780.0,0.0,19.4,9.99,Individual,Source Verified,MI,784.0,57104243,11.0,1
2014-04-01,B5,60 months,OWN,755.0,0.0,62.7,12.99,Individual,Source Verified,CA,759.0,13266954,11.0,1
2015-06-01,B1,36 months,MORTGAGE,705.0,0.0,93.6,8.18,Individual,Verified,VA,709.0,53352479,5.0,1
2015-07-01,D1,36 months,MORTGAGE,695.0,0.0,43.0,15.61,Individual,Verified,AZ,699.0,55091803,11.0,1
2016-03-01,C2,36 months,OWN,685.0,0.0,82.3,12.99,Individual,Source Verified,TX,689.0,75739865,3.0,1
2016-03-01,B3,36 months,RENT,665.0,1.0,66.9,9.75,Individual,Verified,WI,669.0,75171012,0.0,0
2014-03-01,B3,36 months,MORTGAGE,695.0,0.0,40.6,11.99,Individual,Source Verified,FL,699.0,12925761,9.0,1
2014-05-01,G3,60 months,RENT,675.0,0.0,95.9,25.89,Individual,Source Verified,CA,679.0,17413402,0.0,1
2015-10-01,B3,36 months,MORTGAGE,670.0,0.0,61.2,9.99,Individual,Source Verified,MO,674.0,61543461,11.0,1
2014-10-01,B4,36 months,RENT,660.0,1.0,76.6,11.67,Individual,Not Verified,GA,664.0,33280315,5.0,1
2014-05-01,C2,36 months,RENT,695.0,0.0,39.5,13.35,Individual,Not Verified,WY,699.0,16481415,8.0,0
2015-03-01,B2,36 months,RENT,665.0,0.0,72.9,9.17,Individual,Not Verified,NC,669.0,44085116,8.0,1
2014-03-01,C5,36 months,MORTGAGE,665.0,0.0,49.0,15.61,Individual,Not Verified,DE,669.0,12407151,7.0,1
2015-08-01,A5,36 months,RENT,725.0,0.0,53.8,7.89,Individual,Not Verified,CA,729.0,57227132,3.0,1
2014-08-01,B4,36 months,RENT,670.0,0.0,43.0,11.67,Individual,Not Verified,FL,674.0,24045156,11.0,1
2016-02-01,B3,36 months,MORTGAGE,670.0,0.0,90.6,9.75,Individual,Source Verified,VA,674.0,73007277,4.0,1
2015-11-01,A1,36 months,RENT,800.0,0.0,9.6,5.32,Individual,Not Verified,RI,804.0,65454433,11.0,1
2016-01-01,A3,36 months,MORTGAGE,735.0,0.0,23.9,6.99,Individual,Source Verified,WA,739.0,69832702,5.0,1
2014-10-01,C3,60 months,RENT,680.0,1.0,23.2,13.98,Individual,Source Verified,FL,684.0,28252409,11.0,1
2016-04-01,A3,60 months,MORTGAGE,705.0,0.0,87.2,6.97,Individual,Source Verified,VA,709.0,75668680,1.0,1
2015-06-01,D4,36 months,MORTGAGE,670.0,0.0,87.4,17.57,Individual,Source Verified,NY,674.0,52808194,0.0,1
2014-10-01,C4,36 months,MORTGAGE,685.0,0.0,49.0,14.49,Individual,Source Verified,CA,689.0,28512533,6.0,0
2015-03-01,B3,36 months,RENT,675.0,0.0,70.5,9.99,Individual,Verified,IN,679.0,43359754,4.0,1
2015-03-01,C2,36 months,RENT,660.0,1.0,94.1,12.69,Individual,Source Verified,GA,664.0,40483482,5.0,1
2014-05-01,A5,36 months,MORTGAGE,715.0,0.0,19.6,8.9,Individual,Not Verified,TX,719.0,15651508,5.0,1
2016-02-01,B2,36 months,OWN,730.0,0.0,54.0,9.16,Individual,Source Verified,TX,734.0,71895023,0.0,1
2016-02-01,B5,36 months,RENT,680.0,0.0,53.1,11.47,Individual,Not Verified,NY,684.0,71014725,3.0,1
2015-12-01,A5,36 months,MORTGAGE,675.0,0.0,56.4,7.91,Individual,Not Verified,MI,679.0,68496845,9.0,1
2016-03-01,A5,36 months,OWN,710.0,0.0,68.1,7.89,Individual,Verified,WI,714.0,72967321,11.0,1
2015-07-01,B2,60 months,MORTGAGE,755.0,0.0,17.8,9.17,Individual,Verified,CO,759.0,54057196,2.0,1
2014-04-01,B3,36 months,RENT,665.0,1.0,57.6,11.99,Individual,Source Verified,CA,669.0,14708644,11.0,1
2015-10-01,B2,36 months,RENT,670.0,1.0,71.0,9.17,Individual,Not Verified,NY,674.0,61752140,11.0,1
2015-06-01,D1,60 months,MORTGAGE,665.0,0.0,93.6,15.61,Individual,Verified,CO,669.0,50931288,0.0,1
2014-06-01,B2,36 months,MORTGAGE,680.0,0.0,19.9,10.15,Individual,Source Verified,NY,684.0,18905796,11.0,1
2016-04-01,D4,36 months,RENT,725.0,0.0,34.6,18.99,Individual,Source Verified,NY,729.0,77512285,2.0,0
2016-02-01,D5,60 months,MORTGAGE,720.0,0.0,78.8,19.53,Individual,Source Verified,TX,724.0,70941256,0.0,1
2015-10-01,C5,60 months,OWN,665.0,2.0,58.3,14.65,Individual,Not Verified,MD,669.0,63525135,8.0,0
2016-03-01,A1,36 months,MORTGAGE,785.0,0.0,6.2,5.32,Individual,Not Verified,IL,789.0,74554860,11.0,1
2015-04-01,E4,60 months,MORTGAGE,660.0,0.0,0.0,20.49,Individual,Verified,VA,664.0,43799144,11.0,0
2014-07-01,D1,36 months,RENT,705.0,0.0,75.0,15.61,Individual,Verified,NY,709.0,20689897,11.0,1
2015-11-01,C2,36 months,RENT,680.0,0.0,54.6,12.59,Individual,Verified,TX,684.0,65304287,1.0,1
2014-01-01,C3,60 months,OWN,660.0,0.0,59.5,14.98,Individual,Source Verified,CA,664.0,10606533,11.0,0
2015-06-01,C3,60 months,MORTGAGE,705.0,0.0,97.7,13.33,Individual,Verified,AZ,709.0,52758206,11.0,1
2015-03-01,A5,36 months,RENT,725.0,0.0,51.1,7.89,Individual,Source Verified,IL,729.0,43370761,2.0,1
2014-11-01,C3,60 months,MORTGAGE,710.0,0.0,92.9,13.66,Individual,Verified,MN,714.0,36168722,3.0,1
2016-05-01,B5,36 months,RENT,725.0,0.0,30.6,11.47,Individual,Source Verified,CO,729.0,75973770,1.0,1
2016-03-01,D3,36 months,RENT,740.0,0.0,95.8,18.25,Individual,Source Verified,VT,744.0,74915722,11.0,1
2016-01-01,C1,36 months,RENT,700.0,0.0,85.3,11.99,Individual,Verified,NY,704.0,68354175,11.0,1
2016-01-01,A3,36 months,MORTGAGE,695.0,0.0,71.8,6.99,Individual,Source Verified,CA,699.0,69872334,11.0,1
2015-07-01,A5,60 months,OWN,775.0,0.0,19.8,7.89,Individual,Not Verified,TN,779.0,57164205,0.0,0
2014-07-01,F3,60 months,MORTGAGE,675.0,0.0,83.6,24.5,Individual,Verified,AZ,679.0,22235092,0.0,0
2015-10-01,B2,36 months,MORTGAGE,720.0,0.0,28.5,9.17,Individual,Not Verified,OR,724.0,61480941,11.0,1
2014-01-01,D3,36 months,RENT,660.0,0.0,97.0,18.25,Individual,Verified,NV,664.0,11296375,7.0,1
2016-02-01,A1,36 months,OWN,735.0,0.0,31.0,5.32,Individual,Not Verified,CT,739.0,72927419,0.0,1
2015-12-01,C5,36 months,MORTGAGE,675.0,0.0,59.6,14.48,Individual,Source Verified,TX,679.0,67685170,11.0,1
2015-01-01,C3,60 months,OWN,660.0,1.0,63.0,13.66,Individual,Source Verified,AL,664.0,39250224,5.0,0
2015-04-01,C2,60 months,MORTGAGE,670.0,0.0,52.0,12.69,Individual,Source Verified,FL,674.0,44430134,7.0,0
2014-04-01,B4,36 months,RENT,660.0,1.0,56.9,12.49,Individual,Verified,GA,664.0,13236869,0.0,1
2015-10-01,A5,36 months,MORTGAGE,710.0,0.0,40.8,7.89,Individual,Not Verified,AZ,714.0,63455511,2.0,1
2015-10-01,A3,36 months,RENT,710.0,0.0,85.8,6.89,Individual,Not Verified,IL,714.0,62117467,9.0,1
2015-04-01,B5,36 months,OWN,690.0,0.0,62.0,11.53,Individual,Source Verified,SD,694.0,46084479,11.0,1
2014-07-01,B3,36 months,RENT,660.0,0.0,43.4,10.99,Individual,Not Verified,NC,664.0,21221747,11.0,1
2016-02-01,C2,36 months,RENT,665.0,1.0,73.9,12.99,Individual,Verified,CO,669.0,72615070,11.0,1
2016-02-01,B1,36 months,MORTGAGE,685.0,0.0,55.1,8.39,Individual,Source Verified,FL,689.0,72545574,11.0,1
2015-04-01,A2,36 months,MORTGAGE,715.0,0.0,40.4,6.39,Individual,Not Verified,TN,719.0,46285126,3.0,1
2015-12-01,B2,36 months,MORTGAGE,705.0,0.0,70.1,9.17,Individual,Not Verified,OH,709.0,67979233,4.0,1
2015-06-01,D1,60 months,RENT,660.0,0.0,50.1,15.61,Individual,Verified,IL,664.0,51827050,3.0,1
2014-05-01,A3,36 months,MORTGAGE,780.0,0.0,24.7,7.12,Individual,Verified,CA,784.0,16372713,7.0,1
2015-04-01,A5,36 months,MORTGAGE,675.0,0.0,41.1,7.89,Individual,Source Verified,IL,679.0,45534557,11.0,1
2016-04-01,B3,36 months,OWN,680.0,0.0,47.4,9.75,Individual,Verified,PA,684.0,77189640,11.0,1
2015-09-01,C1,60 months,RENT,685.0,0.0,46.9,12.29,Individual,Verified,NY,689.0,60555745,11.0,1
2014-04-01,B5,36 months,OWN,685.0,0.0,53.0,12.99,Individual,Source Verified,NV,689.0,13387802,11.0,1
2015-12-01,D2,60 months,MORTGAGE,665.0,0.0,72.3,16.55,Individual,Source Verified,OH,669.0,67448671,11.0,0
2014-02-01,B4,36 months,MORTGAGE,670.0,0.0,57.8,12.85,Individual,Not Verified,CT,674.0,11675565,1.0,1
2014-04-01,B2,36 months,OWN,730.0,0.0,22.7,10.99,Individual,Source Verified,PA,734.0,14550900,11.0,1
2015-10-01,A5,36 months,MORTGAGE,690.0,0.0,29.2,7.89,Individual,Source Verified,AL,694.0,63435635,11.0,1
2015-04-01,A5,36 months,MORTGAGE,715.0,0.0,87.3,7.89,Individual,Not Verified,NC,719.0,46786043,11.0,1
2015-05-01,A1,36 months,RENT,745.0,0.0,20.6,5.32,Individual,Verified,NY,749.0,49533175,11.0,1
2015-11-01,C4,60 months,MORTGAGE,705.0,0.0,38.0,13.67,Individual,Verified,MI,709.0,63888323,11.0,0
2014-05-01,F3,60 months,MORTGAGE,660.0,0.0,77.8,24.5,Individual,Source Verified,TX,664.0,11404799,11.0,1
2015-04-01,A5,36 months,RENT,715.0,0.0,58.7,7.89,Individual,Source Verified,NH,719.0,43906196,5.0,1
2015-08-01,B3,36 months,MORTGAGE,705.0,0.0,84.0,9.99,Individual,Source Verified,IN,709.0,56612129,6.0,1
2015-07-01,B3,60 months,RENT,745.0,0.0,29.4,9.99,Individual,Source Verified,GA,749.0,54423571,4.0,1
2016-04-01,E4,36 months,RENT,680.0,0.0,57.5,21.97,Individual,Source Verified,IN,684.0,76302543,0.0,1
2014-08-01,B1,36 months,MORTGAGE,765.0,0.0,13.8,9.17,Individual,Source Verified,DE,769.0,23906317,5.0,1
2014-01-01,A4,36 months,RENT,700.0,0.0,42.9,7.9,Individual,Not Verified,MO,704.0,10786124,0.0,1
2014-07-01,B2,36 months,RENT,705.0,0.0,31.4,10.15,Individual,Not Verified,NY,709.0,17402826,1.0,1
2016-02-01,A3,36 months,MORTGAGE,695.0,0.0,19.3,6.97,Individual,Source Verified,TX,699.0,70712280,4.0,1
2015-09-01,B4,36 months,MORTGAGE,670.0,1.0,50.3,10.99,Individual,Source Verified,NM,674.0,59070259,11.0,1
2014-05-01,C4,36 months,MORTGAGE,715.0,0.0,48.4,15.31,Individual,Source Verified,TX,719.0,15009164,11.0,1
2014-04-01,E3,60 months,MORTGAGE,660.0,0.0,62.9,21.18,Individual,Verified,GA,664.0,13367292,6.0,0
2016-05-01,D1,36 months,MORTGAGE,705.0,0.0,70.5,16.29,Individual,Source Verified,IL,709.0,80528890,11.0,0
2016-03-01,A1,36 months,RENT,700.0,0.0,60.5,5.32,Individual,Not Verified,MA,704.0,75271405,4.0,0
2015-07-01,D2,36 months,MORTGAGE,675.0,0.0,83.3,16.55,Individual,Not Verified,AZ,679.0,53744507,4.0,1
2015-09-01,B5,60 months,MORTGAGE,695.0,0.0,34.7,11.53,Individual,Source Verified,KY,699.0,59211577,11.0,1
2015-10-01,B2,36 months,RENT,665.0,0.0,53.1,9.17,Individual,Source Verified,IL,669.0,63450465,0.0,1
2014-01-01,B5,36 months,MORTGAGE,700.0,0.0,45.4,13.53,Individual,Verified,AZ,704.0,10068467,7.0,1
2015-01-01,F1,60 months,MORTGAGE,660.0,1.0,70.7,22.99,Individual,Verified,AL,664.0,40127630,6.0,0
2015-11-01,C4,60 months,MORTGAGE,705.0,0.0,54.7,13.67,Individual,Verified,IL,709.0,65754583,11.0,1
2014-09-01,C3,36 months,RENT,660.0,0.0,43.0,13.98,Individual,Source Verified,OH,664.0,25337148,11.0,1
2016-06-01,B3,36 months,RENT,695.0,0.0,65.8,10.49,Individual,Source Verified,TX,699.0,81641438,2.0,1
2014-02-01,B5,36 months,RENT,705.0,0.0,11.0,13.53,Individual,Verified,GA,709.0,10765895,11.0,1
2016-03-01,B1,36 months,RENT,660.0,0.0,15.8,8.39,Individual,Source Verified,CA,664.0,73704246,5.0,1
2016-03-01,A4,36 months,RENT,700.0,0.0,32.6,7.39,Individual,Source Verified,FL,704.0,74814154,6.0,1
2014-11-01,B1,36 months,RENT,665.0,5.0,75.5,8.67,Individual,Source Verified,CA,669.0,34313907,11.0,1
2016-05-01,C3,36 months,RENT,660.0,1.0,54.3,13.67,Individual,Source Verified,CA,664.0,79544058,0.0,1
2015-07-01,B1,36 months,MORTGAGE,665.0,0.0,76.8,8.18,Individual,Not Verified,CA,669.0,55340342,11.0,1
2014-04-01,C2,36 months,MORTGAGE,675.0,0.0,22.0,14.16,Individual,Verified,IN,679.0,13135988,0.0,0
2015-03-01,A4,36 months,RENT,770.0,0.0,2.0,6.92,Individual,Not Verified,CA,774.0,43390699,2.0,1
2015-07-01,B3,36 months,RENT,670.0,3.0,44.2,9.99,Individual,Not Verified,MA,674.0,56330478,5.0,1
2015-11-01,C4,60 months,MORTGAGE,690.0,0.0,66.4,13.67,Individual,Source Verified,NY,694.0,65737561,3.0,0
2016-04-01,A4,36 months,OWN,720.0,0.0,72.5,7.39,Individual,Source Verified,GA,724.0,76194914,8.0,1
2015-09-01,B5,36 months,MORTGAGE,680.0,0.0,70.9,11.53,Individual,Source Verified,MD,684.0,60535423,0.0,1
2015-01-01,A5,36 months,MORTGAGE,670.0,0.0,29.8,8.19,Individual,Source Verified,VA,674.0,40197676,11.0,1
2014-10-01,D4,36 months,RENT,665.0,2.0,55.4,17.57,Individual,Verified,CA,669.0,32399203,11.0,0
2015-11-01,B2,36 months,MORTGAGE,715.0,0.0,37.3,9.17,Individual,Source Verified,CA,719.0,64291399,11.0,1
2015-05-01,B1,36 months,OWN,670.0,1.0,49.1,8.18,Individual,Not Verified,PA,674.0,49247578,6.0,1
2014-10-01,A5,36 months,RENT,780.0,0.0,31.6,8.39,Individual,Source Verified,TX,784.0,29114492,6.0,1
2016-04-01,F4,36 months,RENT,685.0,0.0,26.2,25.88,Individual,Source Verified,NE,689.0,76313740,1.0,1
2016-05-01,C2,36 months,MORTGAGE,715.0,0.0,64.8,12.99,Individual,Verified,OH,719.0,78011503,11.0,1
2015-07-01,E3,60 months,MORTGAGE,660.0,3.0,23.1,19.19,Individual,Source Verified,IN,664.0,55268648,8.0,0
2015-12-01,D1,36 months,MORTGAGE,725.0,0.0,50.3,15.77,Individual,Not Verified,OH,729.0,68394562,2.0,1
2016-02-01,A2,36 months,RENT,715.0,0.0,44.5,6.49,Individual,Not Verified,NJ,719.0,72582757,11.0,1
2015-05-01,C3,36 months,RENT,680.0,0.0,60.4,13.33,Individual,Source Verified,AZ,684.0,48031639,5.0,1
2016-06-01,C2,36 months,MORTGAGE,700.0,0.0,62.3,13.49,Individual,Verified,TX,704.0,83980674,6.0,0
2015-06-01,E2,36 months,RENT,660.0,0.0,55.4,18.55,Individual,Not Verified,MS,664.0,49713232,3.0,0
2015-10-01,B1,36 months,MORTGAGE,695.0,0.0,39.0,8.18,Individual,Verified,CT,699.0,61912517,6.0,1
2015-11-01,B5,36 months,MORTGAGE,700.0,0.0,18.6,11.53,Individual,Not Verified,TX,704.0,63408525,0.0,1
2015-10-01,D1,36 months,RENT,675.0,0.0,66.0,15.61,Individual,Not Verified,NY,679.0,61358438,8.0,1
2015-08-01,C4,60 months,MORTGAGE,720.0,0.0,46.6,13.99,Individual,Source Verified,NC,724.0,57235076,8.0,1
2016-02-01,A1,36 months,MORTGAGE,745.0,0.0,22.6,5.32,Individual,Not Verified,TX,749.0,70895285,1.0,1
2015-10-01,B4,36 months,MORTGAGE,670.0,1.0,83.6,10.99,Individual,Verified,FL,674.0,63467050,2.0,1
2016-01-01,B4,36 months,RENT,690.0,0.0,50.9,10.78,Individual,Verified,PA,694.0,70142886,11.0,0
2016-02-01,B3,36 months,RENT,695.0,0.0,63.3,9.75,Individual,Not Verified,CA,699.0,70030259,11.0,0
2014-11-01,D4,60 months,OWN,665.0,8.0,24.9,17.57,Individual,Verified,OH,669.0,32499448,0.0,1
2015-10-01,C1,36 months,MORTGAGE,660.0,0.0,74.6,12.29,Individual,Verified,CA,664.0,60863120,11.0,1
2015-11-01,B4,60 months,MORTGAGE,705.0,0.0,46.9,10.99,Individual,Not Verified,NV,709.0,65414414,11.0,1
2015-01-01,E5,60 months,MORTGAGE,675.0,0.0,61.9,21.99,Individual,Verified,OH,679.0,37711760,11.0,0
2015-02-01,A2,36 months,RENT,725.0,0.0,68.1,6.39,Individual,Source Verified,TX,729.0,41020097,6.0,1
2015-06-01,C2,60 months,MORTGAGE,675.0,0.0,84.8,12.69,Individual,Source Verified,TX,679.0,51065294,3.0,0
2016-03-01,C2,36 months,MORTGAGE,660.0,0.0,99.6,12.99,Individual,Verified,AZ,664.0,73385830,0.0,0
2014-11-01,C1,36 months,MORTGAGE,670.0,0.0,55.6,12.39,Individual,Source Verified,MA,674.0,34963993,11.0,1
2015-11-01,C3,60 months,RENT,775.0,0.0,2.9,13.18,Individual,Source Verified,NY,779.0,65452705,2.0,1
2015-01-01,C2,36 months,RENT,660.0,0.0,73.0,12.99,Individual,Not Verified,GA,664.0,39641922,2.0,1
2015-02-01,B3,36 months,RENT,700.0,0.0,57.8,9.99,Individual,Verified,NJ,704.0,41021846,4.0,1
2014-08-01,E2,60 months,MORTGAGE,665.0,0.0,52.3,19.52,Individual,Source Verified,GA,669.0,14698065,11.0,0
2015-12-01,A2,36 months,MORTGAGE,820.0,0.0,8.1,6.24,Individual,Not Verified,FL,824.0,66390700,2.0,1
2015-01-01,F3,60 months,OWN,660.0,0.0,78.4,24.5,Individual,Verified,NJ,664.0,39580746,9.0,1
2014-05-01,F3,36 months,RENT,665.0,0.0,36.7,24.5,Individual,Not Verified,FL,669.0,15731206,7.0,1
2016-01-01,B5,36 months,OWN,685.0,0.0,89.7,11.48,Individual,Source Verified,OH,689.0,68598425,1.0,1
2014-05-01,C4,36 months,RENT,660.0,1.0,52.4,15.31,Individual,Source Verified,WY,664.0,14559650,11.0,1
2014-03-01,C5,36 months,MORTGAGE,675.0,1.0,38.3,15.61,Individual,Source Verified,CA,679.0,12766374,11.0,1
2016-03-01,C1,60 months,MORTGAGE,720.0,0.0,10.0,11.99,Individual,Source Verified,OH,724.0,72693869,0.0,1
2014-05-01,C4,36 months,MORTGAGE,710.0,0.0,69.0,15.31,Individual,Verified,MN,714.0,15320934,0.0,1
